source_file,video_id,handle,cover_url,status,saved_path,error
yt-dlp,7545020003897199880,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7545020003897199880,ok,covers\7545020003897199880.image,
yt-dlp,7544619823238515976,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7544619823238515976,ok,covers\7544619823238515976.image,
yt-dlp,7543206203665730824,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7543206203665730824,ok,covers\7543206203665730824.image,
yt-dlp,7538286304082021650,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7538286304082021650,ok,covers\7538286304082021650.image,
yt-dlp,7540583407638564104,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7540583407638564104,ok,covers\7540583407638564104.image,
yt-dlp,7538370086919245063,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7538370086919245063,ok,covers\7538370086919245063.image,
yt-dlp,7537645222185012487,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7537645222185012487,ok,covers\7537645222185012487.image,
yt-dlp,7536068514587675922,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7536068514587675922,ok,covers\7536068514587675922.image,
yt-dlp,7535285709679152402,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7535285709679152402,ok,covers\7535285709679152402.image,
yt-dlp,7533141278691822856,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7533141278691822856,ok,covers\7533141278691822856.image,
yt-dlp,7530533677097307400,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7530533677097307400,ok,covers\7530533677097307400.image,
yt-dlp,7530191676636220680,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7530191676636220680,ok,covers\7530191676636220680.image,
yt-dlp,7530131659635592456,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7530131659635592456,ok,covers\7530131659635592456.image,
yt-dlp,7527517012499680519,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7527517012499680519,ok,covers\7527517012499680519.image,
yt-dlp,7524976015181909256,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7524976015181909256,ok,covers\7524976015181909256.image,
yt-dlp,7522435093827194119,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7522435093827194119,ok,covers\7522435093827194119.image,
yt-dlp,7522365849039064328,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7522365849039064328,ok,covers\7522365849039064328.image,
yt-dlp,7520872381879962898,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7520872381879962898,ok,covers\7520872381879962898.image,
yt-dlp,7519045649166273799,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7519045649166273799,ok,covers\7519045649166273799.image,
yt-dlp,7517611869109275912,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7517611869109275912,ok,covers\7517611869109275912.image,
yt-dlp,7514151850082389256,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7514151850082389256,ok,covers\7514151850082389256.image,
yt-dlp,7513899115789454599,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7513899115789454599,ok,covers\7513899115789454599.image,
yt-dlp,7511241801555021063,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7511241801555021063,ok,covers\7511241801555021063.image,
yt-dlp,7508602922796600583,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7508602922796600583,ok,covers\7508602922796600583.image,
yt-dlp,7506850011846593810,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7506850011846593810,ok,covers\7506850011846593810.image,
yt-dlp,7506848716226088210,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7506848716226088210,ok,covers\7506848716226088210.image,
yt-dlp,7502358822451694855,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7502358822451694855,ok,covers\7502358822451694855.image,
yt-dlp,7501565521209396488,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7501565521209396488,ok,covers\7501565521209396488.image,
yt-dlp,7498307654989663496,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7498307654989663496,ok,covers\7498307654989663496.image,
yt-dlp,7497098771881331976,anantaraangkor,https://www.tiktok.com/@anantaraangkor/video/7497098771881331976,ok,covers\7497098771881331976.image,
yt-dlp,7540187544479075602,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7540187544479075602,ok,covers\7540187544479075602.image,
yt-dlp,7529748126672915719,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7529748126672915719,ok,covers\7529748126672915719.image,
yt-dlp,7517965996372577544,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7517965996372577544,ok,covers\7517965996372577544.image,
yt-dlp,7501612440786963719,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7501612440786963719,ok,covers\7501612440786963719.image,
yt-dlp,7491160990529096968,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7491160990529096968,ok,covers\7491160990529096968.image,
yt-dlp,7486020280515710226,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7486020280515710226,ok,covers\7486020280515710226.image,
yt-dlp,7481504709828742407,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7481504709828742407,ok,covers\7481504709828742407.image,
yt-dlp,7478647202257095944,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7478647202257095944,ok,covers\7478647202257095944.image,
yt-dlp,7156052254896786715,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7156052254896786715,ok,covers\7156052254896786715.image,
yt-dlp,7068604402029890842,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7068604402029890842,ok,covers\7068604402029890842.image,
yt-dlp,7064355820833721627,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7064355820833721627,ok,covers\7064355820833721627.image,
yt-dlp,7061200293261741339,avanisukhumvit,https://www.tiktok.com/@avanisukhumvit/video/7061200293261741339,ok,covers\7061200293261741339.image,
yt-dlp,7373619529819229445,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7373619529819229445,ok,covers\7373619529819229445.image,
yt-dlp,7401140930943700229,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7401140930943700229,ok,covers\7401140930943700229.image,
yt-dlp,7499373390822771974,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7499373390822771974,ok,covers\7499373390822771974.image,
yt-dlp,7546520833196428560,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7546520833196428560,ok,covers\7546520833196428560.image,
yt-dlp,7545460603947601169,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7545460603947601169,ok,covers\7545460603947601169.image,
yt-dlp,7539939403532111105,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7539939403532111105,ok,covers\7539939403532111105.image,
yt-dlp,7538722785040895249,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7538722785040895249,ok,covers\7538722785040895249.image,
yt-dlp,7535806301805219078,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7535806301805219078,ok,covers\7535806301805219078.image,
yt-dlp,7535167217961291014,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7535167217961291014,ok,covers\7535167217961291014.image,
yt-dlp,7530995229214641464,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7530995229214641464,ok,covers\7530995229214641464.image,
yt-dlp,7530703598863437062,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7530703598863437062,ok,covers\7530703598863437062.image,
yt-dlp,7529886787733409029,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7529886787733409029,ok,covers\7529886787733409029.image,
yt-dlp,7528494539422600504,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7528494539422600504,ok,covers\7528494539422600504.image,
yt-dlp,7527678973527067909,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7527678973527067909,ok,covers\7527678973527067909.image,
yt-dlp,7525526715540491576,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7525526715540491576,ok,covers\7525526715540491576.image,
yt-dlp,7523639355085344006,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7523639355085344006,ok,covers\7523639355085344006.image,
yt-dlp,7521786533876190469,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7521786533876190469,ok,covers\7521786533876190469.image,
yt-dlp,7518305812645809464,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7518305812645809464,ok,covers\7518305812645809464.image,
yt-dlp,7517284041305935109,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7517284041305935109,ok,covers\7517284041305935109.image,
yt-dlp,7515110906175573254,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7515110906175573254,ok,covers\7515110906175573254.image,
yt-dlp,7513148573094022406,avaniwindhoek,https://www.tiktok.com/@avaniwindhoek/video/7513148573094022406,ok,covers\7513148573094022406.image,
